ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
1692478,B76-00642,Eudyptula minor,,,little penguin,lpns,HB1-01,POINT (587720 5269687),148.07136,-42.72031,587720,5269687,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692479,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587722 5269789),148.07137,-42.71939,587722,5269789,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692480,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587721 5269698),148.07137,-42.72021,587721,5269698,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692481,B76-00642,Eudyptula minor,,,little penguin,lpns,HB1-02,POINT (587722 5269690),148.07138,-42.72028,587722,5269690,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Large chick,
1692482,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587723 5269747),148.07138,-42.71977,587723,5269747,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692483,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587723 5269742),148.07139,-42.71982,587723,5269742,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692484,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587723 5269738),148.07139,-42.71985,587723,5269738,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692485,B76-00642,Eudyptula minor,,,little penguin,lpns,HB1-03,POINT (587723 5269688),148.07139,-42.7203,587723,5269688,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,No recent use,
1692486,B76-00642,Eudyptula minor,,,little penguin,lpns,HB1-04,POINT (587725 5269690),148.07142,-42.72028,587725,5269690,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,large,
1692487,B76-00642,Eudyptula minor,,,little penguin,lpns,HB1-05,POINT (587727 5269690),148.07144,-42.72028,587727,5269690,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
